Cell_Name,Animal_Name,Animal_Condition_Sex,days_post_surgery,Rm,Cm,RMP,AP_Threshold,AP_HW,AP_Peak
2023_07_07A,2023_07_07,SHAM_Male,24,41.0,372.5859349752251,,-56.42661,0.981065,47.23339
2023_07_07B,2023_07_07,SHAM_Male,24,68.5,289.31418687064394,-60.4584499206543,-45.95791,0.919428,48.75209
2023_07_07C,2023_07_07,SHAM_Male,24,47.5,348.9882660977688,-70.18432624816892,-42.749577,0.867896,31.540423000000004
2023_07_07D,2023_07_07,SHAM_Male,24,58.0,293.66343133912045,-63.88319293212891,-45.83901,1.0887,52.18099
2024_01_11C,2024_01_11,SHAM_Male,24,101.5,134.54666942318073,-66.26348172807687,-43.294598,1.10302,37.755402
2024_01_12A,2024_01_12,SHAM_Male,25,64.0,258.0685004318596,-52.48284136962892,-40.39295,1.39021,53.24705
2024_01_18B,2024_01_18,SHAM_Male,31,22.000000000000004,415.6922727272727,-50.53,-45.1,0.954208,57.56
2024_01_25E,2024_01_25,SHAM_Male,38,85.0,176.49959207512708,-62.713112354278486,-37.780174,1.17487,54.78982599999999
2024_01_25G,2024_01_25,SHAM_Male,38,96.5,236.8506149334292,-63.132224966764426,-43.77369,1.07031,54.406310000000005
2024_02_05A,2024_02_05,SHAM_Male,13,130.5,214.97101858298024,-74.70697425460811,-48.647366,1.07232,40.382634
2024_02_23A,2024_02_23,SHAM_Male,32,141.5,126.99801113410304,-47.62595539855955,-48.76486,1.09515,46.66514000000001
2024_02_23B,2024_02_23,SHAM_Male,32,51.00000000000001,396.5294918294752,-49.21100433349602,-48.35644,0.995953,44.92356
2024_04_16A,2024_04_16,SHAM_Male,11,37.0,392.4027027027028,-66.52640617370602,-50.897453,1.08504,51.302547
2024_04_18A,2024_04_18,SHAM_Male,15,65.352606773376,311.20705034170845,-53.6950947637587,-43.719482,1.43432,42.880518
2024_04_25C,2024_04_25,SHAM_Male,23,79.59971427917452,267.61036034282114,-53.960492738487,-52.956028,1.29473,53.45397199999999
2024_04_25D,2024_04_25,SHAM_Male,23,35.6770725250244,260.68615868186674,-54.0471067804129,-50.49955,1.22267,50.900450000000006
2024_04_25E,2024_04_25,SHAM_Male,23,87.94448375701901,164.29446039875145,-62.88895816926905,-58.63757,1.25817,46.77243
2024_04_25F,2024_04_25,SHAM_Male,23,144.73748207092248,141.0567888870037,-76.84625247136222,-46.79582,1.32535,47.90418
2024_07_15A,2024_07_15,SHAM_Male,28,118.87965202331502,142.86838766557312,-68.92800869941713,-44.22,0.990607,53.19
2023_06_07B,2023_06_07,IONL_Male,27,133.177,228.8258489704612,-66.33386313951675,-42.275505,2.17206,49.274495
2023_06_07D,2023_06_07,IONL_Male,27,49.10925,298.2402611935153,-73.70587009912863,-34.722305,1.23717,47.097695
2023_06_15C,2023_06_15,IONL_Male,35,63.17700000000001,270.89880789235167,-55.94674664492797,-50.79292,0.872601,44.31708
2023_07_06B,2023_07_06,IONL_Male,23,201.50000000000003,200.47543424317612,-71.87955,-44.34,1.21616,44.86
2023_07_06C,2023_07_06,IONL_Male,23,75.0,250.28501265623936,-69.89302978515622,-50.75034,1.01804,49.14966
