Cell_Name,Animal_Name,Animal_Condition_Sex,Injected_Current,Spike_Nb
2023_07_07A,2023_07_07,SHAM_Male,0,0.0
2023_07_07A,2023_07_07,SHAM_Male,10,0.0
2023_07_07A,2023_07_07,SHAM_Male,20,0.0
2023_07_07A,2023_07_07,SHAM_Male,30,2.0
2023_07_07A,2023_07_07,SHAM_Male,40,6.0
2023_07_07A,2023_07_07,SHAM_Male,50,7.0
2023_07_07A,2023_07_07,SHAM_Male,60,7.0
2023_07_07A,2023_07_07,SHAM_Male,70,5.0
2023_07_07A,2023_07_07,SHAM_Male,80,6.0
2023_07_07A,2023_07_07,SHAM_Male,90,8.0
2023_07_07A,2023_07_07,SHAM_Male,100,9.0
2023_07_07A,2023_07_07,SHAM_Male,110,12.0
2023_07_07A,2023_07_07,SHAM_Male,120,11.0
2023_07_07A,2023_07_07,SHAM_Male,130,12.0
2023_07_07A,2023_07_07,SHAM_Male,140,15.5
2023_07_07A,2023_07_07,SHAM_Male,150,16.5
2023_07_07A,2023_07_07,SHAM_Male,160,18.0
2023_07_07A,2023_07_07,SHAM_Male,170,20.0
2023_07_07A,2023_07_07,SHAM_Male,180,20.5
2023_07_07A,2023_07_07,SHAM_Male,190,22.0
2023_07_07A,2023_07_07,SHAM_Male,200,21.0
2023_07_07A,2023_07_07,SHAM_Male,210,21.5
2023_07_07A,2023_07_07,SHAM_Male,220,23.5
2023_07_07A,2023_07_07,SHAM_Male,230,22.5
2023_07_07A,2023_07_07,SHAM_Male,240,24.5
2023_07_07A,2023_07_07,SHAM_Male,250,24.5
2023_07_07A,2023_07_07,SHAM_Male,260,26.0
2023_07_07A,2023_07_07,SHAM_Male,270,25.5
2023_07_07A,2023_07_07,SHAM_Male,280,26.5
2023_07_07A,2023_07_07,SHAM_Male,290,26.5
2023_07_07A,2023_07_07,SHAM_Male,300,27.5
2023_07_07B,2023_07_07,SHAM_Male,0,0.0
2023_07_07B,2023_07_07,SHAM_Male,10,0.0
2023_07_07B,2023_07_07,SHAM_Male,20,0.0
2023_07_07B,2023_07_07,SHAM_Male,30,0.0
2023_07_07B,2023_07_07,SHAM_Male,40,0.0
2023_07_07B,2023_07_07,SHAM_Male,50,0.0
2023_07_07B,2023_07_07,SHAM_Male,60,0.0
2023_07_07B,2023_07_07,SHAM_Male,70,0.0
2023_07_07B,2023_07_07,SHAM_Male,80,0.0
2023_07_07B,2023_07_07,SHAM_Male,90,0.0
2023_07_07B,2023_07_07,SHAM_Male,100,0.0
2023_07_07B,2023_07_07,SHAM_Male,110,0.0
2023_07_07B,2023_07_07,SHAM_Male,120,0.0
2023_07_07B,2023_07_07,SHAM_Male,130,0.0
