Cell_Name,Animal_Name,Animal_Condition_Sex,days_post_surgery,Rheobase,Gain
2023_07_07A,2023_07_07,SHAM_Male,24,110,0.0978
2023_07_07B,2023_07_07,SHAM_Male,24,150,0.1929
2023_07_07C,2023_07_07,SHAM_Male,24,220,0.0388
2023_07_07D,2023_07_07,SHAM_Male,24,200,0.0268
2024_01_11C,2024_01_11,SHAM_Male,24,190,0.0181
2024_01_12A,2024_01_12,SHAM_Male,25,190,0.0321
2024_01_18B,2024_01_18,SHAM_Male,31,512,0.0
2024_01_25E,2024_01_25,SHAM_Male,38,140,0.0299
2024_01_25G,2024_01_25,SHAM_Male,38,110,0.1284
2024_02_05A,2024_02_05,SHAM_Male,13,70,0.1637
2024_02_23A,2024_02_23,SHAM_Male,32,80,0.1801
2024_02_23B,2024_02_23,SHAM_Male,32,200,0.1093
2024_04_16A,2024_04_16,SHAM_Male,11,200,0.0056
2024_04_18A,2024_04_18,SHAM_Male,15,250,0.0143
2024_04_25C,2024_04_25,SHAM_Male,23,80,0.1183
2024_04_25D,2024_04_25,SHAM_Male,23,240,0.1548
2024_04_25E,2024_04_25,SHAM_Male,23,100,0.2727
2024_04_25F,2024_04_25,SHAM_Male,23,120,0.0859
2024_07_15A,2024_07_15,SHAM_Male,28,60,0.1821
2023_06_07B,2023_06_07,IONL_Male,27,50,0.0802
2023_06_07D,2023_06_07,IONL_Male,27,170,0.0402
2023_06_15C,2023_06_15,IONL_Male,35,140,0.1705
2023_07_06B,2023_07_06,IONL_Male,23,40,0.0244
2023_07_06C,2023_07_06,IONL_Male,23,90,0.1168
2023_07_06D,2023_07_06,IONL_Male,23,80,0.0743
2023_07_06E,2023_07_06,IONL_Male,23,80,0.1695
2023_07_10A,2023_07_10,IONL_Male,27,40,0.235
2023_07_10C,2023_07_10,IONL_Male,27,100,0.1661
2023_07_10D,2023_07_10,IONL_Male,27,100,0.1268
2024_01_16A,2024_01_16,IONL_Male,29,50,0.3
2024_01_16B,2024_01_16,IONL_Male,29,70,0.0355
2024_01_16C,2024_01_16,IONL_Male,29,210,0.0206
2024_01_16D,2024_01_16,IONL_Male,29,130,0.2357
2024_01_16E,2024_01_16,IONL_Male,29,60,0.3167
2024_01_16F,2024_01_16,IONL_Male,29,120,0.1956
2024_01_22B,2024_01_22,IONL_Male,35,220,0.0301
2024_01_22C,2024_01_22,IONL_Male,35,190,0.1073
2024_01_24A,2024_01_24,IONL_Male,37,90,0.1081
2024_01_24B,2024_01_24,IONL_Male,37,120,0.215
2024_01_24C,2024_01_24,IONL_Male,37,30,0.0727
2024_01_24D,2024_01_24,IONL_Male,37,40,0.0882
2024_01_26B,2024_01_26,IONL_Male,39,130,0.1745
2024_01_29A,2024_01_29,IONL_Male,42,90,0.3917
2024_02_26E,2024_02_26,IONL_Male,35,75,0.1867
2024_02_26F,2024_02_26,IONL_Male,35,75,0.08
2024_03_21C,2024_03_21,IONL_Male,29,60,0.1925
2024_03_22C,2024_03_22,IONL_Male,30,100,0.2916
2024_03_22D,2024_03_22,IONL_Male,30,30,0.17
2024_04_19A,2024_04_19,IONL_Male,15,160,0.1082
2024_04_19B,2024_04_19,IONL_Male,15,70,0.1193
2024_04_19C,2024_04_19,IONL_Male,15,60,0.136
2024_04_19D,2024_04_19,IONL_Male,15,80,0.1869
