Slice_Name,Animal_Name,Slice_Condition_Sex,Soma_area,Day_Post_Surgery
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,101.29,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,67.666,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,163.213,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,76.474,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,143.842,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,95.518,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,239.121,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,143.306,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,98.969,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,182.793,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,155.209,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,125.601,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,134.617,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,302.562,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,145.627,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,149.912,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,97.63,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,202.878,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,319.225,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,331.009,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,136.432,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,80.818,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,123.399,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,91.828,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,71.742,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,66.922,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,186.274,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,79.211,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,261.141,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,200.319,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,167.706,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,270.633,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,89.179,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,104.95,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,114.562,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,114.562,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,75.373,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,74.123,27.0
SHAM rat MZ_2024_15 Contra 2,MZ_2024_15,SHAM_Male,92.899,27.0
