Time_point,Pain_Score,Animal_Name,Animal_Condition_Sex
-1,1.2,unknown1,SHAM_Male
3,2.0,unknown1,SHAM_Male
6,2.0,unknown1,SHAM_Male
10,1.2,unknown1,SHAM_Male
13,1.2,unknown1,SHAM_Male
17,1.4,unknown1,SHAM_Male
20,1.4,unknown1,SHAM_Male
-1,1.0,unknown2,SHAM_Male
3,1.0,unknown2,SHAM_Male
6,1.0,unknown2,SHAM_Male
10,1.0,unknown2,SHAM_Male
13,1.0,unknown2,SHAM_Male
17,1.2,unknown2,SHAM_Male
20,1.0,unknown2,SHAM_Male
-1,1.4,MZ_2024_23,SHAM_Male
3,1.6,MZ_2024_23,SHAM_Male
6,1.6,MZ_2024_23,SHAM_Male
10,1.0,MZ_2024_23,SHAM_Male
13,1.2,MZ_2024_23,SHAM_Male
17,1.0,MZ_2024_23,SHAM_Male
20,1.2,MZ_2024_23,SHAM_Male
-1,1.4,MZ_2024_26,SHAM_Male
3,1.2,MZ_2024_26,SHAM_Male
6,1.2,MZ_2024_26,SHAM_Male
10,1.2,MZ_2024_26,SHAM_Male
13,1.4,MZ_2024_26,SHAM_Male
17,1.8,MZ_2024_26,SHAM_Male
20,1.4,MZ_2024_26,SHAM_Male
-1,1.0,JL-2025-01,SHAM_Male
3,1.0,JL-2025-01,SHAM_Male
6,1.6,JL-2025-01,SHAM_Male
10,1.8,JL-2025-01,SHAM_Male
13,1.6,JL-2025-01,SHAM_Male
17,1.4,JL-2025-01,SHAM_Male
20,1.4,JL-2025-01,SHAM_Male
-1,1.0,JL-2025-08,SHAM_Male
3,1.0,JL-2025-08,SHAM_Male
6,1.4,JL-2025-08,SHAM_Male
10,1.6,JL-2025-08,SHAM_Male
13,1.4,JL-2025-08,SHAM_Male
17,1.2,JL-2025-08,SHAM_Male
20,1.6,JL-2025-08,SHAM_Male
-1,1.6,KH2022-41,SHAM_Male
6,1.2,KH2022-41,SHAM_Male
10,1.0,KH2022-41,SHAM_Male
13,1.0,KH2022-41,SHAM_Male
17,1.0,KH2022-41,SHAM_Male
20,1.0,KH2022-41,SHAM_Male
-1,1.0,KH2022-43,SHAM_Male
6,1.3,KH2022-43,SHAM_Male
10,1.0,KH2022-43,SHAM_Male
13,1.8,KH2022-43,SHAM_Male
